super 5.1.x	super 5.0.x	super 4.0.x	super 3.0
<key>DisplayAccessoryDefaultFile</key> <string>path or URL</string>	<key>DisplayAccessoryDefaultFile</key> <string>path or URL</string>	<key>DisplayAccessoryDefaultFile</key> <string>path or URL</string>	<key>DisplayAccessoryDefault</key> <string>path or URL</string>
<key>DisplayAccessoryMacOSMinorUpdateFile</key> <string>path or URL</string>	<key>DisplayAccessoryMacOSMinorUpdateFile</key> <string>path or URL</string>	<key>DisplayAccessoryUpdateFile</key> <string>path or URL</string>	<key>DisplayAccessoryUpdate</key> <string>path or URL</string>
<key>DisplayAccessoryMacOSMajorUpgradeFile</key> <string>path or URL</string>	<key>DisplayAccessoryMacOSMajorUpgradeFile</key> <string>path or URL</string>	<key>DisplayAccessoryUpgradeFile</key> <string>path or URL</string>	<key>DisplayAccessoryUpgrade</key> <string>path or URL</string>
<key>DisplayAccessoryNonSystemUpdatesFile</key> <string>path or URL</string>	<key>DisplayAccessoryNonSystemUpdatesFile</key> <string>path or URL</string>	N/A	N/A
<key>DisplayAccessorySafariUpdateFile</key> <string>path or URL</string>	N/A	N/A	N/A
<key>DisplayAccessoryJamfPolicyTriggersFile</key> <string>path or URL</string>	<key>DisplayAccessoryJamfPolicyTriggersFile</key> <string>path or URL</string>	N/A	N/A
<key>DisplayAccessoryRestartWithoutUpdatesFile</key> <string>path or URL</string>	<key>DisplayAccessoryRestartWithoutUpdatesFile</key> <string>path or URL</string>	N/A	N/A
<key>DisplayHelpButtonString</key> <string>plain text or URL</string>	<key>DisplayHelpButtonString</key> <string>plain text or URL</string>	<key>DisplayHelpButtonString</key> <string>plain text or URL</string>	<key>HelpButton</key> <string>plain text or URL</string>
<key>DisplayWarningButtonString</key> <string>plain text or URL</string>	<key>DisplayWarningButtonString</key> <string>plain text or URL</string>	<key>DisplayWarningButtonString</key> <string>plain text or URL</string>	<key>WarningButton</key> <string>plain text or URL</string>
<key>TestMode</key> <true/> | <false/>	<key>TestMode</key> <true/> | <false/>	<key>TestMode</key> <true/> | <false/>	<key>TestMode</key> <true/> | <false/>
<key>TestModeTimeout</key> <string>seconds</string>	<key>TestModeTimeout</key> <string>seconds</string>	<key>TestModeTimeout</key> <string>seconds</string>	<key>TestModeTimeout</key> <string>seconds</string>
<key>TestStorageUpdate</key> <string>gigabytes</string>	<key>TestStorageUpdate</key> <string>gigabytes</string>	<key>TestStorageUpdate</key> <string>gigabytes</string>	<key>FreeSpaceUpdate</key> <string>gigabytes</string>
<key>TestStorageUpgrade</key> <string>gigabytes</string>	<key>TestStorageUpgrade</key> <string>gigabytes</string>	<key>TestStorageUpgrade</key> <string>gigabytes</string>	<key>FreeSpaceUpgrade</key> <string>gigabytes</string>
<key>TestBatteryLevel</key> <string>percentage</string>	<key>TestBatteryLevel</key> <string>percentage</string>	<key>TestBatteryLevel</key> <string>percentage</string>	<key>BatteryLevel</key> <string>percentage</string>
<key>AuthAskUserToSavePassword</key> <true/> | <false/>	<key>AuthAskUserToSavePassword</key> <true/> | <false/>	<key>AuthAskUserToSavePassword</key> <true/> | <false/>	N/A
<key>AuthJamfCustomURL</key> <string>URL</string>	<key>AuthJamfCustomURL</key> <string>URL</string>	<key>AuthJamfCustomURL</key> <string>URL</string>	N/A
<key>AuthCredentialFailoverToUser</key> <true/> | <false/>	<key>AuthCredentialFailoverToUser</key> <true/> | <false/>	<key>AuthCredentialFailoverToUser</key> <true/> | <false/>	N/A
"<key>AuthMDMFailoverToUser</key> <string>ALWAYS,DIALOG,DEADLINE,SCHEDULED,INSTALLNOW,ERROR</string>"	"<key>AuthMDMFailoverToUser</key> <string>ALWAYS,DIALOG,DEADLINE,SCHEDULED,INSTALLNOW,ERROR</string>"	"<key>AuthMDMFailoverToUser</key> <string>ALWAYS,NOSERVICE,SOFT,HARD,INSTALLNOW,BOOTSTRAP</string>"	"<key>UserAuthMDMFailover</key> <string>ALWAYS,NOSERVICE,SOFT,HARD,INSTALLNOW,BOOTSTRAP</string>"
<key>VerboseMode</key> <true/> | <false/>	<key>VerboseMode</key> <true/> | <false/>	<key>VerboseMode</key> <true/> | <false/>	<key>VerboseMode</key> <true/> | <false/>
REMOVED	REMOVED	<key>DisplayAccessoryUserAuthFile</key> <string>path or URL</string>	<key>DisplayAccessoryUserAuth</key> <string>path or URL</string>
REMOVED	REMOVED	REMOVED	<key>DisplayRedraw</key> <string>seconds</string>
REMOVED	REMOVED	REMOVED	<key>IconSizeJamf</key> <string>pixels</string>
REMOVED	REMOVED	REMOVED	<key>PreferJamfHelper</key> <true/> | <false/>
